PolicyNum,ClaimNum,Year,ClaimStatus,Claim,Deduct,EntityType,Description,CoverageGroup,CoverageCode,Fire5,CountyCode,county
120002,20100192,2010,Closed,6838.87,1000,County,lightningdamage,BC,VF,4,ASH,Ashland
120003,20080726,2007,Closed,2085,5000,County,lightningdamageatComm.Center,BC,VF,0,BAR,Barron
120003,20081656,2007,Closed,7835,5000,County,lightningdamageatwatertower,BC,VF,0,BAR,Barron
120003,20081657,2007,Closed,3500,5000,County,lightningdamageatwatertower,BC,VF,0,BAR,Barron
120003,20081656,2007,Closed,1480,5000,County,lightningdamgetoradiotower,BC,VF,0,BAR,Barron
120003,20081656,2007,Closed,600,5000,County,vandalismdamageatrecyclecenter,BC,VE,0,BAR,Barron
120003,20081656,2008,Closed,8775,5000,County,surveillanceequipmentstolen,BC,VE,0,BAR,Barron
120003,20081656,2009,Closed,34610.27,5000,County,windblewstackoffanddamagedroof,BC,VE,0,BAR,Barron
120003,20081656,2009,Closed,2860.64,5000,County,LightningSurge,BC,VF,0,BAR,Barron
120003,20081656,2010,Closed,9711.28,5000,County,forklifthitbuildingdamagingwallanddoorframe,BC,VF,0,BAR,Barron
120004,20081656,2006,Closed,6279.16,500,County,powersurgedamageatcourthouse,BC,VS,0,BAY,Bayfield
120004,20081656,2006,Closed,1942.67,500,County,waterdamageatcourthouse,BC,VS,0,BAY,Bayfield
120004,20081656,2006,Closed,4781.25,500,County,lightningdamageatPortWingTower,BC,VF,0,BAY,Bayfield
120004,20081656,2007,Closed,32733.44,500,County,mercuryspillatCountyHealthDept.,BC,VS,0,BAY,Bayfield
120004,20081656,2009,Closed,33605.39,1000,County,lightningdamagetotower,BC,VF,0,BAY,Bayfield
120004,20081656,2009,Closed,7642.16,1000,County,winddamagetoradiotower,BC,VE,0,BAY,Bayfield
120004,20081656,2009,Closed,1352.88,1000,County,vehiclehitanddamagedpoleatfairgrounds,BC,VE,0,BAY,Bayfield
120004,20081656,2010,Closed,10323.5,1000,County,LightninghitBarnesTower,BC,VF,0,BAY,Bayfield
120005,20081656,2007,Closed,4336.55,5000,County,lightningdamagetoelevatoratsheriff'sdept.,BC,VF,0,IOW,Iowa
120005,20081656,2007,Closed,16609,5000,County,lightningdamageatSheriff'sDept.,BC,VF,0,IOW,Iowa
120005,20081656,2007,Closed,113634.28,5000,County,lightningdamageatComm.Center,BC,VF,0,IOW,Iowa
120005,20081657,2007,Closed,6000,5000,County,lightningdamageatComm.Center,BC,VF,0,IOW,Iowa
120005,20081656,2007,Closed,3425.56,5000,County,lightningdamageatHwy.Dept.,BC,VF,0,IOW,Iowa
120005,20081656,2009,Closed,21480.88,5000,County,airconditioningunitdamaged,BC,VE,0,IOW,Iowa
120005,20081657,2009,Closed,6000,5000,County,airconditioningunitdamaged,BC,VE,0,IOW,Iowa
120008,20081656,2006,Closed,540,500,County,lightningdamage,BC,VF,3,CAL,Calumet
120008,20081656,2006,Closed,2675,500,County,lightningdamageatcourthouse,BC,VF,3,CAL,Calumet
120008,20081656,2006,Closed,44845.82,500,County,lightningdamage,BC,VF,3,CAL,Calumet
120008,20081656,2007,Closed,1250,500,County,washerdamagedbytruck,BC,VE,3,CAL,Calumet
120008,20081656,2007,Closed,1000,500,County,washerdamagedbytruck,BC,VE,3,CAL,Calumet
120008,20081656,2008,Closed,613.15,500,County,stormdamagedcontrolleratcourthouse,BC,VS,3,CAL,Calumet
120008,20081656,2008,Closed,100,500,County,stormdamagedcontrolleratcourthouse,BC,VS,3,CAL,Calumet
120008,20081656,2009,Closed,1762,500,County,tankdamagedbyplow,BC,VE,3,CAL,Calumet
120008,20081656,2009,Closed,10252.69,500,County,lightningdamageatcourthouse,BC,VF,3,CAL,Calumet
120008,20081656,2010,Closed,3469.79,500,County,lightpoledamaged,BC,VE,3,CAL,Calumet
120009,20081656,2009,Closed,5474.3,25000,County,waterdamagefrombrokenpipe,BC,VS,0,CHI,Chippewa
120010,20081656,2009,Closed,1630,25000,County,AGTequipmentdamaged,BC,VF,5,CLA,Clark
120010,20081656,2009,Closed,1000,25000,County,AGTequipmentdamaged,BC,VF,5,CLA,Clark
120010,20081656,2009,Closed,126,25000,County,glassbreakageatjailentrance,BC,VE,5,CLA,Clark
120010,20081656,2009,Closed,10854.47,25000,County,vaccinesdestroyed,BC,VS,5,CLA,Clark
120010,20081656,2009,Closed,4000,25000,County,vaccinesdestroyed,BC,VS,5,CLA,Clark
120010,20081656,2009,Closed,1499.59,25000,County,lightningdamageatcourthouse,BC,VF,5,CLA,Clark
120010,20081656,2009,Closed,1000,25000,County,lightningdamageatcourthouse,BC,VF,5,CLA,Clark
120010,20081656,2010,Closed,35000,25000,County,winddamagedroofonhwybldg,BC,VE,5,CLA,Clark
120012,20081656,2006,Closed,1487,500,County,waterdamageatMLKJr.Blvd.,BC,VS,3,DAN,Dane
120012,20081656,2006,Closed,3274.12,500,County,tollboothdamagedatairport,BC,VE,3,DAN,Dane
120012,20081656,2006,Closed,1000,500,County,tollboothdamagedatairport,BC,VE,3,DAN,Dane
120012,20081656,2006,Closed,1835.07,500,County,vandalismatBadgerPrairiePark,BC,VE,3,DAN,Dane
120012,20081656,2006,Closed,892,500,County,elevatordamagedatAlliantEnergy,BC,VS,3,DAN,Dane
120012,20081656,2006,Closed,2681.37,500,County,lightningdamageatPSB,BC,VF,3,DAN,Dane
120012,20081656,2006,Closed,600,500,County,lightningdamageatPSB,BC,VF,3,DAN,Dane
120012,20081656,2006,Closed,15259.97,500,County,waterdamageatcourthouse,BC,VS,3,DAN,Dane
120012,20081656,2006,Closed,1000,500,County,waterdamageatcourthouse,BC,VS,3,DAN,Dane
120012,20081656,2006,Closed,2295.05,500,County,waterdamage,BC,VS,3,DAN,Dane
120012,20081656,2006,Closed,6953.28,500,County,waterdamageatLETC,BC,VS,3,DAN,Dane
120012,20081656,2006,Closed,1000,500,County,waterdamageatLETC,BC,VS,3,DAN,Dane
120012,20081656,2006,Closed,534,500,County,theftatTokenCreek,BC,VE,3,DAN,Dane
120012,20081656,2006,Closed,736.63,500,County,sewerbackupatPSP,BC,VS,3,DAN,Dane
120012,20081656,2006,Closed,7711,500,County,windowbrokenatcourthouse,BC,VE,3,DAN,Dane
120012,20081656,2006,Closed,1655,500,County,arrowboarddamaged,BC,VE,3,DAN,Dane
120012,20081656,2006,Closed,2599,500,County,videoequipstolen,BC,VE,3,DAN,Dane
120012,20081656,2006,Closed,629,500,County,theftatparkshelteratTokenCreek,BC,VE,3,DAN,Dane
120012,20081656,2006,Closed,1194.9,500,County,waterdamageatzoo,BC,VS,3,DAN,Dane
120012,20081656,2006,Closed,1936,500,County,vandalismdamageatcourthouse,BC,VE,3,DAN,Dane
120012,20081656,2007,Closed,28227,500,County,waterdamagedpumpsatzoo,BC,VS,3,DAN,Dane
120012,20081656,2007,Closed,3299.12,500,County,lightningdamage,BC,VF,3,DAN,Dane
120012,20081656,2007,Closed,20593.15,500,County,lightningdamageatairport,BC,VF,3,DAN,Dane
120012,20081656,2007,Closed,4000,500,County,lightningdamageatairport,BC,VF,3,DAN,Dane
120012,20081656,2007,Closed,3511.14,500,County,waterdamageatPSB,BC,VS,3,DAN,Dane
120012,20081656,2007,Closed,20719.61,500,County,winddamageatAlliantEnergyCenter,BC,VE,3,DAN,Dane
120012,20081656,2007,Closed,1000,500,County,winddamageatAlliantEnergyCenter,BC,VE,3,DAN,Dane
120012,20081656,2007,Closed,214021.36,500,County,waterdamageatCourthouse,BC,VS,3,DAN,Dane
120012,20081656,2007,Closed,50000,500,County,waterdamageatCourthouse,BC,VS,3,DAN,Dane
120012,20081656,2007,Closed,2430,500,County,buildingdamagedbyvehicle,BC,VE,3,DAN,Dane
120012,20081656,2007,Closed,7375,500,County,lightningdamagetoterminal,BC,VF,3,DAN,Dane
120012,20081656,2007,Closed,1414,500,County,waterdamageatzoo,BC,VS,3,DAN,Dane
120012,20081656,2007,Closed,1289.65,500,County,lightningdamageatairport,BC,VF,3,DAN,Dane
120012,20081656,2007,Closed,4879.11,500,County,sirendamaged,BC,VE,3,DAN,Dane
120012,20081656,2007,Closed,3644.28,500,County,icedamdamageathwy.garage,BC,VE,3,DAN,Dane
120012,20081656,2008,Closed,6971.42,500,County,powersurgeatPSBMadison,BC,VS,3,DAN,Dane
120012,20081656,2008,Closed,1337,500,County,laptoptheft,BC,VE,3,DAN,Dane
120012,20081656,2008,Closed,7042.29,500,County,foodspoilageatCFS,BC,VS,3,DAN,Dane
120012,20081656,2008,Closed,1375.76,500,County,doordamageatAEC,BC,VE,3,DAN,Dane
