PolicyNum,Year,LnCoverage,BCcov,Premium,Freq,Deduct,y,lny,yAvg,lnDeduct,Fire5,NoClaimCredit,TypeCity,TypeCounty,TypeMisc,TypeSchool,TypeTown,TypeVillage,AC00,AC05,AC10,AC15
120002,2006,3.12300155,22714456,9313,0,1000,0,0,0,6.907755279,1,0,0,1,0,0,0,0,1,0,0,0
120002,2007,3.220739926,25046646,8767,0,1000,0,0,0,6.907755279,1,0,0,1,0,0,0,0,1,0,0,0
120002,2008,3.037427087,20851525,7090,0,1000,0,0,0,6.907755279,1,1,0,1,0,0,0,0,1,0,0,0
120002,2009,3.084324301,21852696,8522,0,1000,0,0,0,6.907755279,1,1,0,1,0,0,0,0,1,0,0,0
120002,2010,3.157489365,23511493,7994,1,1000,6838.87,8.830377792,6838.87,6.907755279,1,1,0,1,0,0,0,0,1,0,0,0
120003,2006,4.598682959,99353377,40735,0,5000,0,0,0,8.517193191,1,0,0,1,0,0,0,0,0,0,0,1
120003,2007,4.649635048,104546824,39728,5,5000,15500,9.648595303,3100,8.517193191,1,0,0,1,0,0,0,0,0,0,0,1
120003,2008,4.711914824,111265009,42280,1,5000,8775,9.079662048,8775,8.517193191,1,0,0,1,0,0,0,0,0,0,0,1
120003,2009,4.779167349,119005219,36893,2,5000,37470.91,10.53132018,18735.455,8.517193191,1,0,0,1,0,0,0,0,0,0,0,1
120003,2010,4.741849809,114646079,36687,1,5000,9711.28,9.181043375,9711.28,8.517193191,1,0,0,1,0,0,0,0,0,0,0,1
120004,2006,3.253456327,25879634,16823,3,500,13003.08,9.472941531,4334.36,6.214608098,1,0,0,1,0,0,0,0,0,0,0,1
120004,2007,3.391832299,29720359,20507,1,500,32733.44,10.39615246,32733.44,6.214608098,1,0,0,1,0,0,0,0,0,0,0,1
120004,2008,3.436838748,31088524,22694,0,500,0,0,0,6.214608098,1,0,0,1,0,0,0,0,0,0,0,1
120004,2009,3.498467609,33064745,18185,3,1000,42600.43,10.65961963,14200.14333,6.907755279,1,0,0,1,0,0,0,0,0,0,0,1
120004,2010,3.461149589,31853574,17839,1,1000,10323.5,9.242178129,10323.5,6.907755279,1,0,0,1,0,0,0,0,0,0,0,1
120005,2006,3.44879903,31462584,19192,0,1000,0,0,0,6.907755279,1,0,0,1,0,0,0,0,0,0,0,1
120005,2007,3.500401365,33128746,14245,5,5000,144005.39,11.87760601,28801.078,8.517193191,1,0,0,1,0,0,0,0,0,0,0,1
120005,2008,3.555209709,34995158,15397,0,5000,0,0,0,8.517193191,1,0,0,1,0,0,0,0,0,0,0,1
120005,2009,3.610220426,36974202,14050,2,5000,27480.88,10.22124577,13740.44,8.517193191,1,0,0,1,0,0,0,0,0,0,0,1
120005,2010,3.487793889,32713698,12431,0,5000,0,0,0,8.517193191,1,0,0,1,0,0,0,0,0,0,0,1
120008,2006,3.82976103,46051532,21644,3,500,48060.82,10.78022257,16020.27333,6.214608098,1,0,0,1,0,0,0,0,0,0,0,1
120008,2007,3.908242548,49811334,18928,2,500,2250,7.718685495,1125,6.214608098,1,0,0,1,0,0,0,0,0,0,0,1
120008,2008,3.771345914,43438490,17809,2,500,713.15,6.569691777,356.575,6.214608098,1,0,0,1,0,0,0,0,0,0,0,1
120008,2009,3.814650941,45360920,18144,2,500,12014.69,9.393885347,6007.345,6.214608098,1,0,0,1,0,0,0,0,0,0,0,1
120008,2010,3.856969471,47321724,16090,1,500,3469.79,8.151849352,3469.79,6.214608098,1,0,0,1,0,0,0,0,0,0,0,1
120009,2006,4.198984403,66618639,15988,0,25000,0,0,0,10.1266311,1,0,0,1,0,0,0,0,0,0,0,1
120009,2007,4.249770728,70089341,16120,0,25000,0,0,0,10.1266311,1,0,0,1,0,0,0,0,0,0,0,1
120009,2008,4.299852869,73688951,16948,0,25000,0,0,0,10.1266311,1,1,0,1,0,0,0,0,0,0,0,1
120009,2009,4.320409868,75219452,15044,2,25000,5474.3,8.607819693,2737.15,10.1266311,1,1,0,1,0,0,0,0,0,0,0,1
120009,2010,4.280643975,72286976,15180,0,25000,0,0,0,10.1266311,1,0,0,1,0,0,0,0,0,0,0,1
120010,2009,4.262926396,71017505,16334,7,25000,20110.06,9.908975466,2872.865714,10.1266311,0,0,0,1,0,0,0,0,1,0,0,0
120010,2010,4.596491101,99135847,15861,1,25000,35000,10.46310334,35000,10.1266311,0,0,0,1,0,0,0,0,0,0,0,1
