5946975;9668212;10563929;10771690;10978394;11040518;11106331;11121181;11132310;11148124
6346756;9593162;10316383;10468180;10536004;10572608;10625360;10636546;10648192;
6269090;9245313;10092366;10355134;10507837;10573282;10626827;10635751;;
5863015;8546239;9268771;9459424;9592399;9680740;9724068;;;
5778885;8524114;9178009;9451404;9681692;9786916;;;;
6184793;9013132;9585897;9830796;9935753;;;;;
5600184;8493391;9056505;9282022;;;;;;
5288066;7728169;8256211;;;;;;;
5290793;7648729;;;;;;;;
5675568;;;;;;;;;
