payment		origin	dev
5946975 	2004	0	
9668212 	2004	1
10563929	2004	2 
10771690 	2004	3
10978394 	2004	4
11040518 	2004	5
11106331 	2004	6
11121181 	2004	7
11132310 	2004	8
11148124	2004	9
6346756 	2005	0
9593162 	2005	1
10316383 	2005	2
10468180 	2005	3
10536004 	2005	4
10572608 	2005	5
10625360 	2005	6
10636546 	2005	7
10648192	2005	8
6269090 	2006	0
9245313 	2006	1
10092366 	2006	2
10355134 	2006	3
10507837 	2006	4
10573282 	2006	5
10626827 	2006	6
10635751	2006	7
5863015 	2007	0
8546239 	2007	1
9268771  	2007	2
9459424  	2007	3	
9592399  	2007	4
9680740  	2007	5
9724068		2007	6
5778885 	2008	0	
8524114 	2008	1	
9178009  	2008	2
9451404  	2008	3
9681692  	2008	4	
9786916		2008	5
6184793 	2009	0
9013132 	2009	1
9585897  	2009	2
9830796  	2009	3	
9935753		2009	4	
5600184 	2010	0	
8493391 	2010	1
9056505  	2010	2
9282022		2010	3
5288066 	2011	0	
7728169 	2011	1
8256211		2011	2
5290793 	2012	0	
7648729		2012	1
5675568		2013	0
