Term,Definition,Section,
analytics,Analytics is the process of using data to make decisions.,1.1,
renters insurance,Renters insurance is an insurance policy that covers the contents of an apartment or house that you are renting.,1.1,
automobile insurance,"An insurance policy that covers damage to your vehicle, damage to other vehicles in the accident, as well as medical expenses of those injured in the accident.",1.1,
casualty insurance,"Causalty insurance is a form of liability insurance providing coverage for negligent acts and omissions. examples include workers compensation, errors and omissions, fidelity, crime, glass, boiler, and various malpractice coverages.",1.1,
commercial insurance,,1.1,
term,The duration of an insurance contract,1.1,
insurance claim,"An insurance claim is the compensation provided by the insurer for incurred hurt, loss, or damage that is covered by the policy.",1.1,
homeowners insurance,Homeowners insurance is an insurance policy that covers the contents and property of a building that is owned by you or a friend.,1.1,
property insurance,"Property insurance is a policy that protects the insured against loss or damage to real or personal property. the cause of loss might be  fire, lightening, business interruption, loss of rents, glass breakage, tornado, windstorm, hail, water damage, explosion, riot, civil commotion, rain, or damage from aircraft or vehicles.",1.1,
non-life,"Non-life insurance is any type of insurance where payments are not based on the death (or survivorship) of a named insured. examples include automobile, homeowners, and so on. also known as property and casualty or general insurance.",1.1,
life Insurance,Life insurance is a contract where the insurer promises to pay upon the death of an insured person. the person being paid is the beneficiary. ,1.1,
personal insurance,Insurance purchased by a person,1.1,
loss adjustment expenses,"Loss adjustment expenses are costs to the insurer that are directly attributable to settling a claims. for example, the cost of an adjuster is someone who assess the claim cost or a lawyer who becomes involve in settling an insurer's legal obligation on a claim",1.2,
unallocated,"Unallocated loss adjustment expenses are costs that can only be indirectly attributed to claim settlement; for example, the cost of an office to support claims staff",1.2,
allocated,"Allocated loss adjustment expenses, sometimes known by the acronym alea, are costs that can be directly attributed to settling a claim; for example, the cost of an adjuster",1.2,
underwriting,Underwriting is the process where the company makes a decision as to whether or not to take on a risk.,1.2,
loss reserving,A loss reserve is an estimate of liability indicating the amount the insurer expects to pay for claims that have not yet been realized. this includes losses incurred but not yet reported (ibnr) and those claims that have been reported claims that haven't been paid (known by the acronym rbns for reported but not settled).,1.2,
risk classification,"Risk classification is the process of grouping policyholders into categories, or classes, where each insured in the class has a risk profile that is similar to others in the class.",1.2,
retrospective premiums,The process of determining the cost of an insurance policy based on the actual loss experience determined as an adjustment to the initial premium payment.,1.2,
claims adjustment,"Claims adjustment is the process of determining coverage, legal liability, and settling claims.",1.2,
claims leakage,Claims leakage respresents money lost through claims management inefficiencies.,1.2,
adjuster,An adjuster is a person who investigates claims and recommends settlement options based on estimates of damage and insurance policies held.,1.2,
dividends,A dividend is the refund of a portion of the premium paid by the insured from insurer surplus.,1.2,
indemnification,Indemnification is the compensation provided by the insurer.,1.3,
rating variables,"Rating variables are the components of an insurance pricing formula. they can include numeric variables (like values, revenue, or area) and classification variables (like location, type of vehicle, or type of occupancy.)",1.3,
Frequency,Count random variables that represent the number of claims,2.1,
Severity,"The amount, or size, of each payment for an insured event",2.1,
probability mass function (pmf) ,A function that gives the probability that a discrete random variable is exactly equal to some value,2.1,
distribution function,"The chance that the random variable is less than or equal to x, as a function of x",2.1,
mean,Average,2.1,
moments,The rth moment of a list is the average value of the random variable raised to the rth power,2.1,
survival function,The probability that the random variable takes on a value greater than a number x,2.1,
moment generating function (mgf),"The mgf of random variable n is defined the expectation of exp(tn), as a function of t",2.2,
probability generating function (pgf),"For a random variable n, its pgf is defined as the expectation of s^n, as a function of s",2.2,
convex hulls,The convex hull of a set of points x is the smallest convex set that contains x,2.2,
risk classes,The formation of different premiums for the same coverage based on each homogeneous group's characteristics.,2.2,
Binomial Distribution,"A random variable has a binomial distribution (with parameters m and q) if it is the number of ""successes"" in a fixed number m of independent random trials, all of which have the same probability q of resulting in ""success."" ",2.2,
binary outcomes,"Outcomes whose unit can take on only two possible states, traditionally labeled as 0 and 1",2.2,
m-convolution,The addition of m independent random variables,2.2,
Poisson Distribution,A discrete probability distribution that expresses the probability of a given number of events occurring in a fixed interval of time or space if these events occur with a known constant rate and independently of the time since the last event,2.2,
Negative Binomial Distribution,The number of successes until we observe the rth failure in independent repetitions of an experiment with binary outcomes,2.2,
overdispersed,The presence of greater variability (statistical dispersion) in a data set than would be expected based on a given statistical model,2.2,
underdispersed,There was less variation in the data than predicted,2.2,
"(a, b, 0) Class","The poisson, binomial and negative binomial distributions",2.3,
maximum likelihood estimator (MLE),The possible value of the parameter for which the chance of observing the data largest,2.4,
local extrema,The largest and smallest value of the function within a given range,2.4,
Central Limit Theorem (CLT),"In some situations, when independent random variables are added, their properly normalized sum tends toward a normal distribution even if the original variables themselves are not normally distributed.",2.4,
Newton's method,A root-finding algorithm which produces successively better approximations to the roots of a real-valued function,2.4,
robust,"Resistant to errors in the results, produced by deviations from assumptions",2.4,
explanatory variables,"In regression, the explanatory variable is the one that is supposed to ""explain"" the other.",2.5,
regression analysis,A set of statistical processes for estimating the relationships among variables,2.5,
homogeneous,Units of exposure that face approximately the same expected frequency and severity of loss.,2.5,
"(a,b,1)","A count distribution with probabilities satisfying p_k/p_{k-1}=a+b/k, for some some constants a and b and k>=2",2.5,
zero truncation,Zero modification of a count distribution such that it assigns zero probability to zero count ,2.5,
degenerate distribution,A deterministic distribution and takes only a single value,2.5,
convex combination,A linear combination of points where all coefficients are non-negative and sum to 1,2.5,
convex function,A real-valued function defined on an interval is called convex if the line segment between any two points on the graph of the function lies above or on the graph.,2.6,
mixture distribution,"The probability distribution of a random variable that is derived from a collection of other random variables as follows: first, a random variable is selected by chance from the collection according to given probabilities of selection, and then the value of the selected random variable is realized",2.6,
chi-square distribution,The chi-squared distribution with k degrees of freedom is the distribution of a sum of the squares of k independent standard normal random variables,2.7,
Goodness of Fit,The goodness of fit of a statistical model describes how well it fits a set of observations.,2.7,
